trial_id,Subject,block_n,Trial,set_size,correctResponse,resp,acc,RT
1,1,1,1,5,1,1,1,924
2,1,1,2,20,1,1,1,845
3,1,1,3,2,1,1,1,436
4,1,1,4,20,1,1,1,588
5,1,1,5,2,0,0,1,431
6,1,1,6,32,1,1,1,505
7,1,1,7,10,0,0,1,748
8,1,1,8,20,0,0,0,576
9,1,1,9,10,1,1,1,756
10,1,1,10,20,0,0,1,792
11,1,1,11,32,1,1,1,1404
12,1,1,12,10,1,1,1,590
13,1,1,13,2,1,1,1,670
14,1,1,14,2,1,1,1,516
15,1,1,15,2,0,0,1,622
16,1,1,16,10,1,1,1,783
17,1,1,17,5,0,0,1,949
18,1,1,18,10,0,0,1,681
19,1,1,19,32,0,0,1,700
20,1,1,20,5,1,1,1,600
21,1,1,21,20,0,0,1,514
22,1,1,22,32,0,0,1,1259
23,1,1,23,5,0,0,1,463
24,1,1,24,2,1,1,1,605
25,1,1,25,32,0,0,1,966
26,1,1,26,2,0,0,1,502
27,1,1,27,20,1,1,1,841
28,1,1,28,2,0,0,1,423
29,1,1,29,5,0,0,1,441
30,1,1,30,1,1,1,1,551
31,1,1,31,32,0,0,1,1156
32,1,1,32,10,1,1,1,968
33,1,1,33,20,0,0,1,465
34,1,1,34,1,1,1,1,413
35,1,1,35,2,1,1,1,556
36,1,1,36,2,1,1,1,444
37,1,1,37,10,0,0,1,1687
38,1,1,38,1,0,0,1,518
39,1,1,39,1,0,0,1,438
40,1,1,40,2,1,1,1,376
41,1,1,41,5,0,0,1,1021
42,1,1,42,20,0,0,1,472
43,1,1,43,32,0,0,1,915
44,1,1,44,10,1,1,1,1250
45,1,1,45,10,1,1,1,405
46,1,1,46,1,1,1,1,381
47,1,1,47,20,0,0,1,1171
48,1,1,48,2,1,1,1,740
49,1,1,49,5,0,0,1,615
50,1,1,50,1,0,0,1,423
51,1,1,51,10,1,1,1,572
52,1,1,52,2,0,0,1,445
53,1,1,53,1,0,0,1,394
54,1,1,54,32,1,1,1,710
55,1,1,55,2,1,1,1,580
56,1,1,56,5,1,1,1,770
57,1,1,57,10,0,0,1,528
58,1,1,58,1,0,0,1,411
59,1,1,59,32,1,1,1,575
60,1,1,60,2,0,0,1,845
61,1,1,61,20,1,1,1,442
62,1,1,62,32,1,1,1,544
63,1,1,63,5,0,0,1,435
64,1,1,64,32,0,0,1,552
65,1,1,65,10,0,0,1,437
