trial_id,Subject,block_n,Trial,set_size,correctResponse,resp,acc,RT
1,1,1,1,5,1,1,1,562
2,1,1,2,32,1,1,1,605
3,1,1,3,20,1,1,1,445
4,1,1,4,1,1,1,1,393
5,1,1,5,1,1,1,0,382
6,1,1,6,10,1,1,1,367
7,1,1,7,32,1,1,1,575
8,1,1,8,20,0,0,1,692
9,1,1,9,1,1,1,1,413
10,1,1,10,32,1,1,1,927
11,1,1,11,2,1,1,1,520
12,1,1,12,32,1,1,1,452
13,1,1,13,5,0,0,0,398
14,1,1,14,5,1,1,1,577
15,1,1,15,2,0,0,1,504
16,1,1,16,32,1,1,1,474
17,1,1,17,2,1,1,1,658
18,1,1,18,32,1,1,1,437
19,1,1,19,5,0,0,1,535
20,1,1,20,20,0,0,1,522
21,1,1,21,1,0,0,1,531
22,1,1,22,10,0,0,1,595
23,1,1,23,1,0,0,1,399
24,1,1,24,32,1,1,1,711
25,1,1,25,20,1,1,1,574
26,1,1,26,20,1,1,1,625
27,1,1,27,10,0,0,1,550
28,1,1,28,20,0,0,1,548
29,1,1,29,10,0,0,1,553
30,1,1,30,5,1,1,1,709
31,1,1,31,1,1,1,1,445
32,1,1,32,10,0,0,1,515
33,1,1,33,32,0,0,1,500
34,1,1,34,10,0,0,1,567
35,1,1,35,5,1,1,1,523
36,1,1,36,5,0,0,1,445
37,1,1,37,32,1,1,1,671
38,1,1,38,2,0,0,1,391
39,1,1,39,5,0,0,1,532
40,1,1,40,2,1,1,1,613
41,1,1,41,20,0,0,1,938
42,1,1,42,32,1,1,1,662
43,1,1,43,2,0,0,1,869
44,1,1,44,5,1,1,1,584
45,1,1,45,32,0,0,1,489
46,1,1,46,20,0,0,1,1034
47,1,1,47,20,0,0,1,1311
48,1,1,48,20,0,0,1,591
49,1,1,49,20,0,0,1,456
50,1,1,50,20,0,0,1,500
51,1,1,51,10,0,0,1,539
52,1,1,52,1,1,1,1,633
53,1,1,53,32,0,0,1,1852
54,1,1,54,10,1,1,1,530
55,1,1,55,20,1,1,1,811
56,1,1,56,5,1,1,1,561
57,1,1,57,32,1,1,1,637
58,1,1,58,2,1,1,1,681
59,1,1,59,2,0,0,1,1120
60,1,1,60,5,0,0,1,532
61,1,1,61,2,0,0,1,715
62,1,1,62,10,0,0,1,601
63,1,1,63,20,0,0,1,552
64,1,1,64,5,1,1,1,724
65,1,1,65,20,1,1,1,708
66,1,1,66,10,1,1,1,481
67,1,1,67,10,1,1,1,550
68,1,1,68,10,0,0,1,528
69,1,1,69,2,1,1,1,440
70,1,1,70,20,1,1,1,471
71,1,1,71,20,1,1,1,472
72,1,1,72,2,0,0,1,825
73,1,1,73,20,1,1,1,443
74,1,1,74,10,0,0,1,465
75,1,1,75,32,1,1,1,403
76,1,1,76,2,1,1,1,554
77,1,1,77,5,0,0,1,686
78,1,1,78,20,0,0,1,475
79,1,1,79,10,0,0,1,475
80,1,1,80,32,0,0,0,407
81,1,1,81,10,0,0,1,1191
82,1,1,82,10,1,1,1,788
83,1,1,83,5,1,1,1,580
84,1,1,84,5,0,0,1,598
85,1,1,85,32,1,1,1,631
86,1,1,86,1,0,0,1,482
87,1,1,87,10,1,1,1,563
88,1,1,88,20,1,1,1,467
89,1,1,89,1,1,1,1,556
90,1,1,90,20,1,1,1,520
91,1,1,91,20,1,1,1,488
92,1,1,92,5,0,0,1,609
93,1,1,93,20,0,0,1,495
94,1,1,94,2,1,1,1,530
95,1,1,95,2,1,1,1,753
96,1,1,96,5,1,1,1,636
97,1,1,97,2,0,0,1,634
98,1,1,98,32,0,0,1,627
99,1,1,99,5,1,1,1,581
100,1,1,100,10,1,1,1,537
101,1,1,101,10,1,1,1,1016
102,1,1,102,1,0,0,1,535
103,1,1,103,10,1,1,1,515
104,1,1,104,1,0,0,1,372
105,1,1,105,2,0,0,1,699
106,1,1,106,5,1,1,1,703
107,1,1,107,5,0,0,1,724
108,1,1,108,32,0,0,1,907
109,1,1,109,20,1,1,1,778
110,1,1,110,32,0,0,1,614
111,1,1,111,32,1,1,1,628
112,1,1,112,2,1,1,1,458
113,1,1,113,2,0,0,1,667
114,1,1,114,10,1,1,1,495
115,1,1,115,20,0,0,1,477
116,1,1,116,5,0,0,1,504
117,1,1,117,5,0,0,1,600
118,1,1,118,10,0,0,1,392
119,1,1,119,5,0,0,1,598
120,1,1,120,1,1,1,1,580
121,1,1,121,2,1,1,1,557
122,1,1,122,5,0,0,1,541
123,1,1,123,32,0,0,1,648
124,1,1,124,5,0,0,1,615
125,1,1,125,32,0,0,1,669
126,1,1,126,20,1,1,1,613
127,1,1,127,32,0,0,1,1093
128,1,1,128,10,0,0,1,811
129,1,1,129,5,1,1,1,879
130,1,1,130,5,1,1,1,602
131,1,1,131,32,1,1,1,550
132,1,1,132,5,1,1,1,542
133,1,1,133,20,0,0,1,548
134,1,1,134,5,0,0,1,462
135,1,1,135,2,1,1,1,428
136,1,1,136,2,0,0,1,420
137,1,1,137,2,0,0,1,451
138,1,1,138,2,0,0,1,765
139,1,1,139,20,1,1,1,645
140,1,1,140,32,0,0,1,950
141,1,1,141,1,0,0,1,480
142,1,1,142,32,1,1,1,514
143,1,1,143,10,1,1,1,802
144,1,1,144,2,1,1,1,489
145,1,1,145,5,0,0,1,741
146,1,1,146,5,1,1,1,410
147,1,1,147,5,1,1,1,415
148,1,1,148,20,1,1,1,496
149,1,1,149,10,1,1,1,431
150,1,1,150,5,1,1,1,641
151,1,1,151,2,1,1,1,541
152,1,1,152,10,0,0,1,602
153,1,1,153,5,0,0,1,525
154,1,1,154,20,1,1,1,772
155,1,1,155,2,1,1,1,751
156,1,1,156,20,0,0,1,516
157,1,1,157,10,0,0,1,521
158,1,1,158,32,1,1,1,435
159,1,1,159,10,1,1,1,500
160,1,1,160,10,1,1,1,464
161,1,1,161,20,0,0,1,959
162,1,1,162,10,0,0,1,509
163,1,1,163,32,0,0,1,434
164,1,1,164,1,1,1,1,383
165,1,1,165,32,0,0,1,633
166,1,1,166,2,0,0,1,417
167,1,1,167,10,0,0,1,623
168,1,1,168,2,1,1,1,457
169,1,1,169,20,1,1,1,626
170,1,1,170,32,0,0,1,484
171,1,1,171,20,1,1,1,893
172,1,1,172,32,1,1,1,517
173,1,1,173,10,0,0,1,476
174,1,1,174,32,0,0,1,933
175,1,1,175,10,0,0,1,812
176,1,1,176,5,0,0,1,618
177,1,1,177,32,1,1,1,522
178,1,1,178,5,1,1,1,388
179,1,1,179,20,1,1,1,516
180,1,1,180,5,1,1,1,551
181,1,1,181,10,1,1,1,460
182,1,1,182,10,0,0,1,498
183,1,1,183,32,0,0,1,457
184,1,1,184,32,1,1,1,458
185,1,1,185,20,0,0,1,470
186,1,1,186,2,1,1,1,389
187,1,1,187,32,1,1,1,443
188,1,1,188,2,1,1,1,536
