uid,trial,session,block,tid,chosen,rt,correct,target_color,target_sex,stim_i,im_color,im_id,im_sex,im_type,correctResponse,is_target
1,1,1,1,1,9,14879,0,1,2,1,b,41,f,same_color,,0
1,1,1,1,1,9,14879,0,1,2,2,y,79,m,same_sex,,0
1,1,1,1,1,9,14879,0,1,2,3,b,60,f,same_color,,0
1,1,1,1,1,9,14879,0,1,2,4,b,75,f,same_color,,0
1,1,1,1,1,9,14879,0,1,2,5,b,68,m,target,5,1
1,1,1,1,1,9,14879,0,1,2,6,y,25,m,same_sex,,0
1,1,1,1,1,9,14879,0,1,2,7,y,2,m,same_sex,,0
1,1,1,1,1,9,14879,0,1,2,8,b,90,f,same_color,,0
1,1,1,1,1,9,14879,0,1,2,9,y,9,m,same_sex,,0
1,2,1,1,2,5,670,0,1,2,1,b,17,m,target,1,1
1,2,1,1,2,5,670,0,1,2,2,b,49,f,same_color,,0
1,2,1,1,2,5,670,0,1,2,3,y,28,m,same_sex,,0
1,2,1,1,2,5,670,0,1,2,4,y,12,m,same_sex,,0
1,2,1,1,2,5,670,0,1,2,5,b,15,f,same_color,,0
1,2,1,1,2,5,670,0,1,2,6,b,56,f,same_color,,0
1,2,1,1,2,5,670,0,1,2,7,y,40,m,same_sex,,0
1,2,1,1,2,5,670,0,1,2,8,y,46,m,same_sex,,0
1,2,1,1,2,5,670,0,1,2,9,b,32,f,same_color,,0
1,3,1,1,3,5,137735,0,1,2,1,y,80,m,same_sex,,0
1,3,1,1,3,5,137735,0,1,2,2,b,73,f,same_color,,0
1,3,1,1,3,5,137735,0,1,2,3,b,39,m,target,3,1
1,3,1,1,3,5,137735,0,1,2,4,y,21,m,same_sex,,0
1,3,1,1,3,5,137735,0,1,2,5,b,47,f,same_color,,0
1,3,1,1,3,5,137735,0,1,2,6,y,43,m,same_sex,,0
1,3,1,1,3,5,137735,0,1,2,7,b,70,f,same_color,,0
1,3,1,1,3,5,137735,0,1,2,8,b,66,f,same_color,,0
1,3,1,1,3,5,137735,0,1,2,9,y,22,m,same_sex,,0
1,4,1,1,4,7,137781,1,1,2,1,b,3,f,same_color,,0
1,4,1,1,4,7,137781,1,1,2,2,y,30,m,same_sex,,0
1,4,1,1,4,7,137781,1,1,2,3,b,55,f,same_color,,0
1,4,1,1,4,7,137781,1,1,2,4,b,58,f,same_color,,0
1,4,1,1,4,7,137781,1,1,2,5,y,72,m,same_sex,,0
1,4,1,1,4,7,137781,1,1,2,6,y,53,m,same_sex,,0
1,4,1,1,4,7,137781,1,1,2,7,b,76,m,target,7,1
1,4,1,1,4,7,137781,1,1,2,8,b,61,f,same_color,,0
1,4,1,1,4,7,137781,1,1,2,9,y,11,m,same_sex,,0
1,5,1,1,5,5,100328,1,1,2,1,y,89,m,same_sex,,0
1,5,1,1,5,5,100328,1,1,2,2,b,63,f,same_color,,0
1,5,1,1,5,5,100328,1,1,2,3,b,83,f,same_color,,0
1,5,1,1,5,5,100328,1,1,2,4,y,54,m,same_sex,,0
1,5,1,1,5,5,100328,1,1,2,5,b,24,m,target,5,1
1,5,1,1,5,5,100328,1,1,2,6,b,67,f,same_color,,0
1,5,1,1,5,5,100328,1,1,2,7,b,31,f,same_color,,0
1,5,1,1,5,5,100328,1,1,2,8,y,85,m,same_sex,,0
1,5,1,1,5,5,100328,1,1,2,9,y,1,m,same_sex,,0
1,6,1,1,6,3,604,0,1,2,1,y,362,m,same_sex,,0
1,6,1,1,6,3,604,0,1,2,2,y,i288ta-mn,m,same_sex,,0
1,6,1,1,6,3,604,0,1,2,3,b,403,f,same_color,,0
1,6,1,1,6,3,604,0,1,2,4,y,237,m,same_sex,,0
1,6,1,1,6,3,604,0,1,2,5,y,664,m,same_sex,,0
1,6,1,1,6,3,604,0,1,2,6,b,1094,f,same_color,,0
1,6,1,1,6,3,604,0,1,2,7,b,724,m,target,7,1
1,6,1,1,6,3,604,0,1,2,8,b,1042,f,same_color,,0
1,6,1,1,6,3,604,0,1,2,9,b,208,f,same_color,,0
1,7,1,1,7,7,723,0,1,2,1,b,318,m,target,1,1
1,7,1,1,7,7,723,0,1,2,2,y,i273ua-mn,m,same_sex,,0
1,7,1,1,7,7,723,0,1,2,3,y,i036qa-mg,m,same_sex,,0
1,7,1,1,7,7,723,0,1,2,4,b,728,f,same_color,,0
1,7,1,1,7,7,723,0,1,2,5,b,i435xa-fn,f,same_color,,0
1,7,1,1,7,7,723,0,1,2,6,y,512,m,same_sex,,0
1,7,1,1,7,7,723,0,1,2,7,b,277,f,same_color,,0
1,7,1,1,7,7,723,0,1,2,8,b,154,f,same_color,,0
1,7,1,1,7,7,723,0,1,2,9,y,283,m,same_sex,,0
1,8,1,1,8,1,395,0,1,2,1,b,386,f,same_color,,0
1,8,1,1,8,1,395,0,1,2,2,y,899,m,same_sex,,0
1,8,1,1,8,1,395,0,1,2,3,y,i201ua-mg,m,same_sex,,0
1,8,1,1,8,1,395,0,1,2,4,b,172,m,target,4,1
1,8,1,1,8,1,395,0,1,2,5,y,i045qa-mn,m,same_sex,,0
1,8,1,1,8,1,395,0,1,2,6,b,910,f,same_color,,0
1,8,1,1,8,1,395,0,1,2,7,b,661,f,same_color,,0
1,8,1,1,8,1,395,0,1,2,8,b,1160,f,same_color,,0
1,8,1,1,8,1,395,0,1,2,9,y,673,m,same_sex,,0
1,9,1,1,9,9,299966,0,1,2,1,y,i064ra-mn,m,same_sex,,0
1,9,1,1,9,9,299966,0,1,2,2,b,1075,f,same_color,,0
1,9,1,1,9,9,299966,0,1,2,3,y,i289ta-mg,m,same_sex,,0
1,9,1,1,9,9,299966,0,1,2,4,y,i307ta-mg,m,same_sex,,0
1,9,1,1,9,9,299966,0,1,2,5,b,297,m,target,5,1
1,9,1,1,9,9,299966,0,1,2,6,b,681,f,same_color,,0
1,9,1,1,9,9,299966,0,1,2,7,b,452,f,same_color,,0
1,9,1,1,9,9,299966,0,1,2,8,y,1063,m,same_sex,,0
1,9,1,1,9,9,299966,0,1,2,9,b,i007ra-fn,f,same_color,,0
1,10,1,1,10,4,346834,0,1,2,1,b,20,f,same_color,,0
1,10,1,1,10,4,346834,0,1,2,2,y,625,m,same_sex,,0
1,10,1,1,10,4,346834,0,1,2,3,y,833,m,same_sex,,0
1,10,1,1,10,4,346834,0,1,2,4,b,375,f,same_color,,0
1,10,1,1,10,4,346834,0,1,2,5,b,646,m,target,5,1
1,10,1,1,10,4,346834,0,1,2,6,y,696,m,same_sex,,0
1,10,1,1,10,4,346834,0,1,2,7,b,568,f,same_color,,0
1,10,1,1,10,4,346834,0,1,2,8,y,674,m,same_sex,,0
1,10,1,1,10,4,346834,0,1,2,9,b,i076ra-fn,f,same_color,,0
1,11,1,1,11,6,141209,1,1,2,1,y,950,m,same_sex,,0
1,11,1,1,11,6,141209,1,1,2,2,y,167,m,same_sex,,0
1,11,1,1,11,6,141209,1,1,2,3,b,537,f,same_color,,0
1,11,1,1,11,6,141209,1,1,2,4,b,441,f,same_color,,0
1,11,1,1,11,6,141209,1,1,2,5,b,675,f,same_color,,0
1,11,1,1,11,6,141209,1,1,2,6,b,985,m,target,6,1
1,11,1,1,11,6,141209,1,1,2,7,y,1033,m,same_sex,,0
1,11,1,1,11,6,141209,1,1,2,8,y,i260ta-mn,m,same_sex,,0
1,11,1,1,11,6,141209,1,1,2,9,b,1181,f,same_color,,0
1,12,1,1,12,4,459262,0,1,2,1,y,1109,m,same_sex,,0
1,12,1,1,12,4,459262,0,1,2,2,y,968,m,same_sex,,0
1,12,1,1,12,4,459262,0,1,2,3,y,585,m,same_sex,,0
1,12,1,1,12,4,459262,0,1,2,4,b,i272ta-fg,f,same_color,,0
1,12,1,1,12,4,459262,0,1,2,5,b,1132,f,same_color,,0
1,12,1,1,12,4,459262,0,1,2,6,b,653,f,same_color,,0
1,12,1,1,12,4,459262,0,1,2,7,y,615,m,same_sex,,0
1,12,1,1,12,4,459262,0,1,2,8,b,461,m,target,8,1
1,12,1,1,12,4,459262,0,1,2,9,b,224,f,same_color,,0
1,13,1,1,13,9,279609,0,1,2,1,b,221,f,same_color,,0
1,13,1,1,13,9,279609,0,1,2,2,b,426,f,same_color,,0
1,13,1,1,13,9,279609,0,1,2,3,b,1100,m,target,3,1
1,13,1,1,13,9,279609,0,1,2,4,y,1055,m,same_sex,,0
1,13,1,1,13,9,279609,0,1,2,5,y,767,m,same_sex,,0
1,13,1,1,13,9,279609,0,1,2,6,y,274,m,same_sex,,0
1,13,1,1,13,9,279609,0,1,2,7,b,211,f,same_color,,0
1,13,1,1,13,9,279609,0,1,2,8,y,1143,m,same_sex,,0
1,13,1,1,13,9,279609,0,1,2,9,b,448,f,same_color,,0
1,14,1,1,14,3,952,1,1,2,1,y,741,m,same_sex,,0
1,14,1,1,14,3,952,1,1,2,2,b,84,f,same_color,,0
1,14,1,1,14,3,952,1,1,2,3,b,37,m,target,3,1
1,14,1,1,14,3,952,1,1,2,4,b,147,f,same_color,,0
1,14,1,1,14,3,952,1,1,2,5,y,582,m,same_sex,,0
1,14,1,1,14,3,952,1,1,2,6,b,564,f,same_color,,0
1,14,1,1,14,3,952,1,1,2,7,y,759,m,same_sex,,0
1,14,1,1,14,3,952,1,1,2,8,y,142,m,same_sex,,0
