SubjID,BlockNr,Sequence,Trial,Stability,MeanSize,MeanSizeDeg,SetSize,BuildOrTest,TargetOri,Response,ACC,RT,training
1,1,1,1,1,55.5,1.5,10,0,-45,-45,1,5837.53,1
1,1,1,2,1,55.5,1.5,10,0,-45,45,0,5772.7,1
1,1,1,3,1,55.5,1.5,40,1,-45,-45,1,10993.41,1
1,1,1,4,1,55.5,1.5,10,1,45,45,1,5086.71,1
1,1,1,5,1,55.5,1.5,30,1,-45,-45,1,2633.67,1
1,1,1,6,1,55.5,1.5,20,1,45,45,1,2123.77,1
1,1,2,1,1,74,2,30,0,45,-45,0,3198.37,1
1,1,2,2,1,74,2,30,0,45,45,1,6964.3,1
1,1,2,3,1,74,2,30,0,45,45,1,11503.46,1
1,1,2,4,1,74,2,40,1,45,45,0,20713.14,1
1,1,2,5,1,74,2,30,1,45,45,1,12371.36,1
1,1,2,6,1,74,2,10,1,-45,-45,1,6469.44,1
1,1,2,7,1,74,2,20,1,45,45,1,2018.11,1
1,1,3,1,1,74,2,10,0,-45,-45,1,3534.74,1
1,1,3,2,1,74,2,10,0,45,45,1,1295.43,1
1,1,3,3,1,74,2,10,0,-45,-45,1,3932.67,1
1,1,3,4,1,74,2,10,0,-45,-45,1,5286.02,1
1,1,3,5,1,74,2,40,1,-45,45,0,17984.38,1
1,1,3,6,1,74,2,10,1,45,45,1,2719.92,1
1,1,3,7,1,74,2,20,1,-45,-45,1,3541.16,1
1,1,3,8,1,74,2,30,1,45,45,1,3970.68,1
1,1,4,1,1,74,2,20,0,-45,-45,1,3035.9,1
1,1,4,2,1,74,2,20,0,-45,-45,1,3457.85,1
1,1,4,3,1,74,2,20,1,45,45,1,1866.1,1
1,1,4,4,1,74,2,10,1,-45,-45,1,3157.47,1
1,1,4,5,1,74,2,30,1,-45,-45,1,2088.12,1
1,1,4,6,1,74,2,40,1,45,45,1,1444.9,1
1,1,5,1,1,74,2,40,0,-45,45,0,9931.06,1
1,1,5,2,1,74,2,40,0,45,45,1,2444.43,1
1,1,5,3,1,74,2,40,0,45,45,1,4287.77,1
1,1,5,4,1,74,2,20,1,45,45,1,10699.49,1
1,1,5,5,1,74,2,30,1,45,45,1,6316.94,1
1,1,5,6,1,74,2,10,1,-45,-45,1,2204.81,1
1,1,5,7,1,74,2,40,1,-45,-45,1,3068.22,1
1,1,6,1,1,55.5,1.5,40,0,-45,-45,1,3817.22,1
1,1,6,2,1,55.5,1.5,40,0,-45,-45,1,3463.05,1
1,1,6,3,1,55.5,1.5,40,0,-45,-45,1,3728.81,1
1,1,6,4,1,55.5,1.5,10,1,45,45,1,1644.33,1
1,1,6,5,1,55.5,1.5,30,1,45,45,1,9688.39,1
1,1,6,6,1,55.5,1.5,20,1,45,45,1,1675.4,1
1,1,6,7,1,55.5,1.5,40,1,-45,-45,1,1587.66,1
1,1,7,1,1,55.5,1.5,20,0,45,45,1,2979.42,1
1,1,7,2,1,55.5,1.5,20,0,-45,-45,1,1143.24,1
1,1,7,3,1,55.5,1.5,20,0,-45,-45,1,1356.21,1
1,1,7,4,1,55.5,1.5,10,1,-45,-45,1,911.41,1
1,1,7,5,1,55.5,1.5,30,1,-45,-45,1,1342.76,1
1,1,7,6,1,55.5,1.5,20,1,45,45,1,4384.42,1
1,1,7,7,1,55.5,1.5,40,1,-45,-45,1,1382.54,1
1,1,8,1,1,55.5,1.5,30,0,45,45,1,1142.27,1
1,1,8,2,1,55.5,1.5,30,0,-45,-45,1,1016.39,1
1,1,8,3,1,55.5,1.5,30,0,45,45,1,2580.68,1
1,1,8,4,1,55.5,1.5,20,1,-45,-45,1,1622.53,1
1,1,8,5,1,55.5,1.5,40,1,-45,-45,1,917.11,1
1,1,8,6,1,55.5,1.5,30,1,45,45,1,4775.47,1
1,1,8,7,1,55.5,1.5,10,1,-45,-45,1,1518.18,1
1,2,9,1,1,74,2,20,0,-45,-45,1,3992.22,0
1,2,9,2,1,74,2,20,0,-45,-45,1,967.88,0
1,2,9,3,1,74,2,40,1,45,45,1,3281.52,0
1,2,9,4,1,74,2,30,1,-45,-45,1,2442.52,0
1,2,9,5,1,74,2,20,1,-45,-45,1,6009.32,0
1,2,9,6,1,74,2,10,1,45,45,1,963.99,0
1,2,10,1,2,111,3,30,0,45,45,1,14193.01,0
1,2,10,2,2,111,3,30,0,45,45,1,15604.95,0
1,2,10,3,2,111,3,30,0,45,45,1,1387.41,0
1,2,10,4,2,92.5,2.5,10,1,-45,-45,1,1337.35,0
1,2,10,5,2,111,3,20,1,45,45,1,14492.98,0
1,2,10,6,2,74,2,40,1,-45,-45,1,9139.91,0
1,2,10,7,2,55.5,1.5,30,1,45,45,1,2022.68,0
1,2,11,1,2,74,2,20,0,45,45,1,2003.48,0
1,2,11,2,2,74,2,20,0,-45,-45,1,3945.17,0
1,2,11,3,2,92.5,2.5,10,1,45,45,1,2357.49,0
1,2,11,4,2,74,2,40,1,-45,-45,1,3084.63,0
1,2,11,5,2,55.5,1.5,30,1,-45,-45,1,2975.67,0
1,2,11,6,2,111,3,20,1,45,45,1,10400.61,0
1,2,12,1,1,111,3,10,0,45,45,1,5007.86,0
1,2,12,2,1,111,3,10,0,-45,-45,1,4028.62,0
1,2,12,3,1,111,3,10,0,-45,-45,1,2019.61,0
1,2,12,4,1,111,3,40,1,-45,-45,1,4776.78,0
1,2,12,5,1,111,3,30,1,-45,-45,1,4524.9,0
1,2,12,6,1,111,3,10,1,45,45,1,2410.83,0
1,2,12,7,1,111,3,20,1,-45,-45,1,6551.42,0
1,2,13,1,2,55.5,1.5,10,0,-45,-45,1,2305.96,0
1,2,13,2,2,55.5,1.5,10,0,45,45,1,1909.98,0
1,2,13,3,2,55.5,1.5,10,0,-45,-45,1,3045.23,0
1,2,13,4,2,55.5,1.5,10,0,-45,-45,1,2780.98,0
